molecule,label,energy,cycles,converged,status,error_message
uf4,LCIIS,,9,False,failed,"UnboundLocalError(""cannot access local variable 'final_energy' where it is not associated with a value"")"
uf4,CDIIS,-451.20156528676046,73,True,ok,
uf4,EDIISCDIIS,-451.17910896550245,31,True,ok,
uf4,LCIIS,-451.179108965502,12,True,ok,
crc,CDIIS,-1082.1105812405692,18,True,ok,
crc,EDIISCDIIS,-1082.1105812406483,26,True,ok,
crc,LCIIS,-1082.1105812405956,13,True,ok,
crc,CDIIS,-1082.1105812405692,18,True,ok,
crc,EDIISCDIIS,-1082.1105812406483,26,True,ok,
crc,LCIIS,-1082.1105812405956,13,True,ok,
crc,CDIIS,-1082.1105812405692,18,True,ok,
crc,EDIISCDIIS,-1082.1105812406483,26,True,ok,
crc,LCIIS,-1082.1105812405956,13,True,ok,
cdim2,CDIIS,-5667.008724792831,23,True,ok,
cdim2,EDIISCDIIS,-5667.008724792848,29,True,ok,
cdim2,LCIIS,-5667.008724792821,21,True,ok,
cn_plus,CDIIS,-91.62024695614531,11,True,ok,
cn_plus,EDIISCDIIS,-91.62024695614508,11,True,ok,
cn_plus,LCIIS,-91.62024695614573,11,True,ok,
cn_plus,CDIIS,-92.1672063858997,10,True,ok,
cn_plus,EDIISCDIIS,-92.16720638590772,15,True,ok,
cn_plus,LCIIS,-92.16720638590759,10,True,ok,
cn_plus,CDIIS,-91.62410041952998,11,True,ok,
cn_plus,EDIISCDIIS,-91.62410041952968,11,True,ok,
cn_plus,LCIIS,-91.62410041953049,11,True,ok,
n-methyl-2-nitrovinylamine,CDIIS,-375.56599517500405,15,True,ok,
n-methyl-2-nitrovinylamine,EDIISCDIIS,-375.5659951750013,16,True,ok,
n-methyl-2-nitrovinylamine,LCIIS,-375.5659951750036,15,True,ok,
cdim2,CDIIS,-5667.008724792774,24,True,ok,
cdim2,EDIISCDIIS,-5667.0087247928,25,True,ok,
cdim2,LCIIS,-5667.008724792786,23,True,ok,
cdim2,CDIIS,-5667.00872479284,36,True,ok,
cdim2,EDIISCDIIS,-5667.008724792833,30,True,ok,
cdim2,LCIIS,-5667.008724792861,20,True,ok,
01-Acetamide-173,CDIIS,-209.0373188576296,11,True,ok,
01-Acetamide-173,AIDIIS,-209.03731885762818,11,True,ok,
02-Adenine-185,CDIIS,-466.9292220307242,13,True,ok,
02-Adenine-185,AIDIIS,-466.9292220307011,13,True,ok,
03-Anthracene-8111,CDIIS,-539.1061590657997,11,True,ok,
03-Anthracene-8111,AIDIIS,-539.1061590657647,13,True,ok,
04-Azulene-8876,CDIIS,-385.5278585865571,12,True,ok,
04-Azulene-8876,AIDIIS,-385.5278585864302,16,True,ok,
05-Benzene-236,CDIIS,-232.06219019089926,9,True,ok,
05-Benzene-236,AIDIIS,-232.06219019089852,9,True,ok,
06-C5_67034357,CDIIS,-185.61306115871355,19,True,ok,
06-C5_67034357,AIDIIS,-185.6130611586658,15,True,ok,
07-Formyl-HCHO-692,CDIIS,-114.39125517737612,9,True,ok,
07-Formyl-HCHO-692,AIDIIS,-114.39125517737553,9,True,ok,
08-Thioformaldehyde-HCHS-71446,CDIIS,-437.30063795071044,10,True,ok,
08-Thioformaldehyde-HCHS-71446,AIDIIS,-437.30063795070134,9,True,ok,
09-Coumarin153_65513,CDIIS,-1122.0137504782954,14,True,ok,
09-Coumarin153_65513,AIDIIS,-1122.0137504782595,14,True,ok,
10-DMABN-64128,CDIIS,-458.07853407256493,13,True,ok,
10-DMABN-64128,AIDIIS,-458.07853407254106,13,True,ok,
11-Hexatriene-4518927,CDIIS,-233.15692691297843,10,True,ok,
11-Hexatriene-4518927,AIDIIS,-233.15692691292426,10,True,ok,
12-Naphthalene-906,CDIIS,-385.5878344370764,10,True,ok,
12-Naphthalene-906,AIDIIS,-385.58783443698604,14,True,ok,
13-Norbonadiene-8160,CDIIS,-271.2348443313517,10,True,ok,
13-Norbonadiene-8160,AIDIIS,-271.2348443313307,10,True,ok,
14-Ozone-23208,CDIIS,-225.21785790796608,10,True,ok,
14-Ozone-23208,AIDIIS,-225.21785790795397,9,True,ok,
15-Octatetraene-4575894,CDIIS,-310.488308121921,11,True,ok,
15-Octatetraene-4575894,AIDIIS,-310.4883081218803,11,True,ok,
16-Tetraphosphorus-109894,CDIIS,-1364.6202751864757,8,True,ok,
16-Tetraphosphorus-109894,AIDIIS,-1364.6202751864812,9,True,ok,
17-Perylene-8788,CDIIS,-768.8055652924425,12,True,ok,
17-Perylene-8788,AIDIIS,-768.8055652922851,16,True,ok,
18-Porphyrin-10447586,CDIIS,-988.7024328750088,14,True,ok,
18-Porphyrin-10447586,AIDIIS,-988.70243287478,18,True,ok,
19-Trans-Azobenzene-2185,CDIIS,-572.2883381108215,13,True,ok,
19-Trans-Azobenzene-2185,AIDIIS,-572.2883381107438,13,True,ok,
20-Tetrazine-10639933,CDIIS,-296.0564172992315,11,True,ok,
20-Tetrazine-10639933,AIDIIS,-296.05641729920194,11,True,ok,
21-Uracil-1141,CDIIS,-414.45976161884306,13,True,ok,
21-Uracil-1141,AIDIIS,-414.45976161880566,13,True,ok,
